Periodos,C,Y
1993/01,56.71991887,61.67436733
1993/02,57.44559488,62.58368918
1993/03,58.45415587,62.32592844
1993/04,58.01315729,62.45501984
1993/05,58.90580778,63.02721758
1993/06,58.34485939,62.26231893
1993/07,58.13809204,63.30545397
1993/08,57.81755165,63.09936548
1993/09,58.36082766,62.84942211
1993/10,58.34436249,62.90902469
1993/11,58.07677545,62.70980017
1993/12,59.23245667,63.94681007
1994/01,59.00075001,64.36682264
1994/02,59.49809852,64.41644767
1994/03,59.56367142,65.022399
1994/04,61.36071952,65.89719201
1994/05,61.43424444,65.87961656
1994/06,61.87806541,66.06894528
1994/07,62.06388461,65.87215008
1994/08,62.37023166,66.20670557
1994/09,62.38666668,66.58770264
1994/10,62.97737971,66.9060292
1994/11,63.31517561,66.66060815
1994/12,61.13833592,66.1904175
1995/01,59.49954492,66.02656721
1995/02,59.10389121,62.0307883
1995/03,58.36520414,61.44833455
1995/04,58.32528501,60.85087346
1995/05,57.70832015,59.65060701
1995/06,58.1154297,60.4433758
1995/07,58.17564701,60.93194302
1995/08,58.54909782,61.38112814
1995/09,58.58135258,61.79714619
1995/10,58.13699009,60.03439062
1995/11,58.4490056,61.95750621
1995/12,58.97154237,64.42602123
1996/01,59.60843312,64.73119387
1996/02,59.45052017,64.15354285
1996/03,60.28206787,64.40072711
1996/04,59.63474442,64.67438608
1996/05,60.17877713,64.93252099
1996/06,60.4115606,65.78276288
1996/07,60.90562281,65.97857356
1996/08,61.07425912,65.90115911
1996/09,61.52132531,66.54729911
1996/10,62.11104547,66.89930652
1996/11,62.90976016,67.47955566
1996/12,62.99963822,68.25749443
1997/01,62.83793752,68.06753611
1997/02,63.93243841,68.14625244
1997/03,63.63336881,68.42809101
1997/04,64.87103996,69.30080331
1997/05,64.90526489,69.74240827
1997/06,65.91731417,70.5936397
1997/07,65.48801591,70.36211162
1997/08,66.16608124,71.09952618
1997/09,66.1666018,71.39252529
1997/10,67.21640963,72.30939462
1997/11,67.89470336,72.57329201
1997/12,67.5230116,72.3757521
1998/01,67.61751827,72.6936294
1998/02,68.52885993,73.60642881
1998/03,69.80194541,74.39340739
1998/04,69.1486765,74.24895974
1998/05,70.0308796,74.1665476
1998/06,69.53571624,73.53121738
1998/07,69.89940034,74.36022304
1998/08,70.31930947,74.47551183
1998/09,70.26929602,74.12500476
1998/10,70.19125197,73.84512553
1998/11,70.39005128,74.27929096
1998/12,70.46725142,74.62624472
1999/01,71.46937688,75.39517856
1999/02,71.59087165,75.21197655
1999/03,71.96933746,75.81891532
1999/04,72.29184571,75.1499116
1999/05,72.65182419,75.9308527
1999/06,72.27747953,75.26500059
1999/07,73.31151276,76.26423678
1999/08,73.28669203,76.0228014
1999/09,73.67006026,76.53410977
1999/10,73.59096192,76.54928043
1999/11,73.43346529,76.79739587
1999/12,74.72584853,77.26925338
2000/01,75.78960298,79.34899829
2000/02,75.80154433,78.77093081
2000/03,75.99083865,78.71476942
2000/04,76.63643174,79.38744533
2000/05,77.37054805,79.84588663
2000/06,77.75833564,80.25842228
2000/07,78.84335027,80.43130521
2000/08,78.14863582,80.52284873
2000/09,79.01871841,80.6142732
2000/10,79.85528956,80.54034485
2000/11,79.80179326,80.19640209
2000/12,79.51242615,79.80916319
2001/01,79.02881967,79.77902781
2001/02,79.1439692,79.54178757
2001/03,79.48729579,79.53651662
2001/04,78.92132964,79.39529851
2001/05,79.30381665,79.19986675
2001/06,80.40171826,79.48378228
2001/07,79.37159586,79.70459269
2001/08,80.01529935,79.95284872
2001/09,80.30372525,79.76387478
2001/10,80.1296849,78.77899314
2001/11,80.14178993,79.32100774
2001/12,80.49631516,79.32188473
2002/01,79.86594302,77.97288129
2002/02,79.70516792,78.40635552
2002/03,80.84376538,78.88360006
2002/04,81.75182263,79.25940325
2002/05,81.16924385,79.48109455
2002/06,81.15402696,79.36294013
2002/07,81.40892377,79.55971238
2002/08,81.49494907,80.04486288
2002/09,81.18993329,79.99396706
2002/10,81.88538831,80.28842748
2002/11,80.90609715,79.47359091
2002/12,80.81763914,80.03380049
2003/01,82.42477522,80.08488371
2003/02,82.50829705,80.63818426
2003/03,82.12334428,80.20961072
2003/04,82.46939435,80.23792467
2003/05,82.0612329,79.98526111
2003/06,82.39296628,80.71619758
2003/07,82.63913572,80.717197
