Periodos,C,Y,T
31/03/2010,9927224.525,14728836.41,303533
30/06/2010,10020391.47,14892561.66,266574
30/09/2010,10057955.98,15031765.74,274657
31/12/2010,10208418.16,15148037.52,290740
31/03/2011,10206578.99,15263122.53,327613
30/06/2011,10364139.67,15345376.72,268754
30/09/2011,10498013.96,15643016.57,273120
31/12/2011,10501978.16,15745613.21,311665
31/03/2012,10601499.87,15847710.67,328552
30/06/2012,10576461.66,15986339.41,275528
30/09/2012,10622413.47,16076614.91,303796
31/12/2012,10678653.97,16214095.92,300891
31/03/2013,10815433.22,16254185.62,369771
30/06/2013,10770653.86,16163826.29,355956
30/09/2013,10822700.52,16315239.41,360940
31/12/2013,10891934.26,16406200.64,368228
31/03/2014,10897794.64,16519513.51,465716
30/06/2014,11096476.95,16727559.41,434804
30/09/2014,11082994.12,16789222.65,414597
31/12/2014,11151152.38,16964036.45,449477
31/03/2015,11190706.66,17056828.13,648034
30/06/2015,11281921.81,17254571.19,549122
30/09/2015,11388858.99,17484269.08,547507
31/12/2015,11551150.83,17423463.43,554433
31/03/2016,11619335.66,17523708.83,704416
30/06/2016,11619076.2,17597717.95,649339
30/09/2016,11804250.84,17786595.2,625496
31/12/2016,11948395.58,17968912.89,649853
31/03/2017,12045500.65,18054660.17,708330
30/06/2017,12141574.71,18112306.58,713920
30/09/2017,12167564.22,18069342.02,683313
31/12/2017,12224746.86,18296390.76,646559
31/03/2018,12452424.92,18501366.1,759522
30/06/2018,12456372.67,18499524.67,744010
30/09/2018,12510833.58,18586335.19,706887
31/12/2018,12405106.01,18529115.02,723805
31/03/2019,12449772.47,18544534.97,829308
30/06/2019,12501430.08,18472927.48,804434
30/09/2019,12590994.2,18567967.19,720710
31/12/2019,12461011.69,18399150.73,727201
31/03/2020,12306112.1,18231130.69,971866
30/06/2020,9801971.404,14976855.72,712510
30/09/2020,11024725.75,16997528.18,724191
31/12/2020,11527648.82,17588473.95,802545
31/03/2021,11843973.13,17722917.99,990122
30/06/2021,12044605.73,17907743.98,797074
30/09/2021,12009833.27,17782676.6,807148
31/12/2021,12176995.93,17786343.96,824204
